date,AQI_index,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
"
                                        2014-01-31","180
                                       ",68,141,106,17,26,1.10,88
"
                                        2014-02-01","89
                                       ",64,65,68,14,44,0.74,59
"
                                        2014-02-02","230
                                       ",136,185,216,12,39,1.82,25
"
                                        2014-02-03","72
                                       ",87,45,58,10,19,0.64,62
"
                                        2014-02-04","39
                                       ",24,18,36,12,13,0.44,69
"
                                        2014-02-05","31
                                       ",12,14,22,11,19,0.45,59
"
                                        2014-02-06","25
                                       ",20,7,7,9,23,0.45,51
"
                                        2014-02-07","27
                                       ",14,9,9,10,23,0.55,55
"
                                        2014-02-08","58
                                       ",68,40,45,17,23,0.84,57
"
                                        2014-02-09","63
                                       ",109,45,53,17,21,0.70,59
"
                                        2014-02-10","38
                                       ",28,26,33,13,22,0.64,54
"
                                        2014-02-11","49
                                       ",11,34,41,16,28,0.69,51
"
                                        2014-02-12","36
                                       ",4,24,28,13,29,0.71,57
"
                                        2014-02-13","39
                                       ",22,22,33,11,23,0.58,70
"
                                        2014-02-14","58
                                       ",15,40,55,15,32,0.73,69
"
                                        2014-02-15","41
                                       ",1,28,36,14,35,0.52,63
"
                                        2014-02-16","31
                                       ",1,19,20,9,37,0.52,53
"
                                        2014-02-17","39
                                       ",15,25,23,11,41,0.69,36
"
                                        2014-02-18","36
                                       ",28,23,25,11,27,0.74,61
"
                                        2014-02-19","79
                                       ",78,58,67,23,51,1.12,31
"
                                        2014-02-20","197
                                       ",170,149,150,62,67,1.66,27
"
                                        2014-02-21","134
                                       ",90,101,114,32,46,0.86,91
"
                                        2014-02-22","77
                                       ",26,56,57,16,39,0.72,70
"
                                        2014-02-23","113
                                       ",77,85,95,23,42,0.85,80
"
                                        2014-02-24","111
                                       ",55,83,68,15,55,0.92,51
"
                                        2014-02-25","47
                                       ",23,20,9,10,30,0.63,80
"
                                        2014-02-26","70
                                       ",48,46,54,9,47,0.96,74
"
                                        2014-02-27","127
                                       ",157,96,107,29,84,1.34,33
"
                                        2014-02-28","108
                                       ",169,81,89,12,43,1.07,67
"
                                        2014-03-01","41
                                       ",19,26,38,10,45,0.61,57
"
                                        2014-03-02","72
                                       ",64,51,78,21,38,0.85,77
"
                                        2014-03-03","59
                                       ",42,34,61,14,36,0.65,84
"
                                        2014-03-04","37
                                       ",11,23,36,16,51,0.71,52
"
                                        2014-03-05","55
                                       ",42,36,54,14,29,0.67,82
"
                                        2014-03-06","44
                                       ",20,22,40,14,31,0.60,74
"
                                        2014-03-07","40
                                       ",26,20,36,13,36,0.55,69
"
                                        2014-03-08","47
                                       ",27,30,43,11,36,0.53,71
"
                                        2014-03-09","107
                                       ",127,80,100,31,75,1.01,43
"
                                        2014-03-10","201
                                       ",179,151,171,35,79,1.31,56
"
                                        2014-03-11","78
                                       ",40,51,94,20,36,0.62,90
"
                                        2014-03-12","40
                                       ",7,27,29,13,45,0.73,44
"
                                        2014-03-13","58
                                       ",31,35,65,19,42,0.64,58
"
                                        2014-03-14","106
                                       ",152,79,119,39,83,1.02,43
"
                                        2014-03-15","113
                                       ",133,85,125,29,72,0.78,71
"
                                        2014-03-16","94
                                       ",69,69,107,23,56,0.74,87
"
                                        2014-03-17","106
                                       ",73,79,111,24,69,1.02,74
"
                                        2014-03-18","181
                                       ",134,136,200,35,90,1.40,75
"
                                        2014-03-19","121
                                       ",137,68,187,13,43,0.77,76
"
                                        2014-03-20","88
                                       ",128,61,97,17,37,0.76,84
"
                                        2014-03-21","59
                                       ",29,25,67,14,45,0.55,68
"
                                        2014-03-22","65
                                       ",34,40,75,16,51,0.59,81
"
                                        2014-03-23","54
                                       ",10,30,56,11,27,0.45,95
"
                                        2014-03-25","84
                                       ",55,61,80,20,78,1.11,23
"
                                        2014-03-26","112
                                       ",101,84,99,23,67,1.23,47
"
                                        2014-03-27","58
                                       ",21,40,55,10,47,0.59,67
"
                                        2014-03-28","55
                                       ",29,38,41,8,37,0.64,77
