date,AQI_index,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
"
                                        2014-01-31","184
                                       ",71,143,181,63,47,1.44,21
"
                                        2014-02-01","179
                                       ",134,135,146,51,57,1.99,7
"
                                        2014-02-02","105
                                       ",68,63,93,18,30,1.19,43
"
                                        2014-02-03","40
                                       ",11,5,31,4,8,0.30,69
"
                                        2014-02-04","50
                                       ",64,26,39,19,21,0.62,56
"
                                        2014-02-05","116
                                       ",181,87,101,52,48,1.58,25
"
                                        2014-02-06","158
                                       ",185,119,131,67,65,2.08,20
"
                                        2014-02-07","124
                                       ",164,94,60,34,51,1.45,23
"
                                        2014-02-08","102
                                       ",155,72,43,23,38,1.27,33
"
                                        2014-02-09","29
                                       ",27,8,15,15,17,0.45,55
"
                                        2014-02-10","35
                                       ",20,23,27,25,37,0.74,42
"
                                        2014-02-11","133
                                       ",167,100,114,58,78,2.09,17
"
                                        2014-02-12","150
                                       ",154,111,115,53,77,2.15,21
"
                                        2014-02-13","241
                                       ",184,190,176,74,84,2.85,16
"
                                        2014-02-14","311
                                       ",187,265,295,73,94,3.11,13
"
                                        2014-02-15","424
                                       ",186,387,443,102,107,3.75,14
"
                                        2014-02-16","339
                                       ",182,296,204,79,87,3.18,26
"
                                        2014-02-17","137
                                       ",152,104,50,65,71,2.03,30
"
                                        2014-02-18","95
                                       ",151,70,84,37,61,1.13,26
"
                                        2014-02-19","89
                                       ",98,66,74,34,61,1.23,29
"
                                        2014-02-20","208
                                       ",175,161,171,43,78,2.16,9
"
                                        2014-02-21","308
                                       ",185,257,284,77,103,2.67,20
"
                                        2014-02-22","313
                                       ",182,262,299,99,101,3.32,11
"
                                        2014-02-23","262
                                       ",177,212,248,128,92,3.61,9
"
                                        2014-02-24","309
                                       ",178,259,327,133,119,4.74,10
"
                                        2014-02-25","402
                                       ",184,353,390,75,121,5.29,8
"
                                        2014-02-26","330
                                       ",184,315,250,80,105,3.70,13
"
                                        2014-02-27","31
                                       ",1,15,22,12,22,0.43,57
"
                                        2014-02-28","106
                                       ",165,77,102,32,71,1.50,15
"
                                        2014-03-01","57
                                       ",71,38,57,23,48,0.84,50
"
                                        2014-03-02","175
                                       ",160,134,164,60,93,2.55,19
"
                                        2014-03-03","267
                                       ",187,217,247,95,102,4.17,5
"
                                        2014-03-04","88
                                       ",126,59,80,28,40,1.30,43
"
                                        2014-03-05","38
                                       ",8,19,34,16,34,0.77,49
"
                                        2014-03-06","36
                                       ",2,15,27,14,29,0.60,55
"
                                        2014-03-07","63
                                       ",89,44,66,24,47,1.02,35
"
                                        2014-03-08","191
                                       ",175,146,180,69,95,2.37,26
"
                                        2014-03-09","126
                                       ",145,94,118,45,68,1.59,37
"
                                        2014-03-10","108
                                       ",109,80,100,53,72,1.67,22
"
                                        2014-03-11","207
                                       ",182,158,197,75,82,2.38,36
"
                                        2014-03-12","36
                                       ",4,10,22,8,25,0.40,63
"
                                        2014-03-13","58
                                       ",35,20,79,14,37,0.63,51
"
                                        2014-03-14","62
                                       ",13,20,78,13,31,0.51,63
"
                                        2014-03-15","128
                                       ",154,93,172,42,89,1.46,28
"
                                        2014-03-16","151
                                       ",168,113,198,76,72,2.11,51
"
                                        2014-03-17","181
                                       ",151,82,240,26,49,1.20,45
"
                                        2014-03-18","86
                                       ",48,36,121,16,35,0.61,71
"
                                        2014-03-19","75
                                       ",35,46,93,16,45,0.77,48
"
                                        2014-03-20","37
                                       ",1,10,27,5,22,0.38,66
"
                                        2014-03-21","54
                                       ",17,24,63,11,43,0.62,52
"
                                        2014-03-22","82
                                       ",89,46,114,16,53,0.84,49
"
                                        2014-03-23","166
                                       ",176,126,176,41,67,1.53,76
"
                                        2014-03-25","241
                                       ",183,191,229,46,89,1.54,89
"
                                        2014-03-26","322
                                       ",189,272,321,44,110,1.98,65
